"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0V680","2019-07-26 00:00:00","40.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0Z290","2019-07-26 00:00:00","946.000","0.000","0.000","21.900","0.800","907.000","-99.000","0.000","-99.000","-99.000","-99.000","27.600","","20.800",""
"CM0120","2019-07-26 00:00:00","4.000","199.000","1.900","29.000","0.810","1007.600","-99.000","0.000","-99.000","-99.000","-99.000","30.500","","26.600",""
"C0G760","2019-07-26 00:00:00","53.000","0.000","0.000","28.200","0.990","1004.200","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","25.700",""
"C0K450","2019-07-26 00:00:00","35.000","187.000","0.600","28.400","0.860","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","26.000",""
"C0V350","2019-07-26 00:00:00","36.000","270.000","0.800","26.600","0.900","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","34.600","","25.000",""
"C0W120","2019-07-26 00:00:00","58.000","184.000","4.600","26.300","0.940","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","26.100",""
"C0R470","2019-07-26 00:00:00","103.000","76.000","0.400","27.200","0.980","997.400","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.700",""
"C0M770","2019-07-26 00:00:00","164.000","142.000","1.600","27.200","0.920","989.500","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","25.500",""
"C0S930","2019-07-26 00:00:00","248.000","263.000","1.300","26.000","0.880","981.300","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","24.500",""
"C0A9B0","2019-07-26 00:00:00","7.000","0.000","0.000","29.400","0.730","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","34.800","","27.600",""
"C0F9Y0","2019-07-26 00:00:00","3313.000","222.000","2.700","9.700","0.780","688.300","-99.000","0.000","-99.000","-99.000","-99.000","15.400","","9.200",""
"C0E790","2019-07-26 00:00:00","344.000","146.000","1.200","26.400","0.960","969.500","-99.000","0.000","-99.000","-99.000","-99.000","31.300","","24.300",""
"C0O810","2019-07-26 00:00:00","161.000","0.000","0.000","25.500","0.990","993.200","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","24.400",""
"C0G880","2019-07-26 00:00:00","92.000","110.000","1.500","27.100","0.880","998.700","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","24.900",""
"C0X270","2019-07-26 00:00:00","33.000","222.000","0.400","26.700","1.000","1005.400","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","24.800",""
"C0R260","2019-07-26 00:00:00","76.000","51.000","0.500","26.600","0.900","999.700","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.500",""
"C0U950","2019-07-26 00:00:00","1012.000","147.000","4.800","21.600","0.960","900.400","-99.000","19.000","-99.000","-99.000","-99.000","26.400","","21.200",""
"C0O860","2019-07-26 00:00:00","38.000","106.000","1.300","27.300","0.990","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.200",""
"C0S980","2019-07-26 00:00:00","901.000","243.000","1.900","22.800","0.940","910.400","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","21.900",""
"C0G620","2019-07-26 00:00:00","110.000","215.000","0.900","26.600","0.990","996.500","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","24.400",""
"C0AD50","2019-07-26 00:00:00","84.000","350.000","0.500","27.900","1.000","999.000","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","26.000",""
"C0A9A0","2019-07-26 00:00:00","24.000","0.000","0.000","28.500","0.830","1005.000","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","27.100",""
"C0O830","2019-07-26 00:00:00","127.000","112.000","0.300","25.800","0.970","994.500","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","24.600",""
"C0S760","2019-07-26 00:00:00","1621.000","0.000","0.100","18.600","0.980","838.800","-99.000","1.000","-99.000","-99.000","-99.000","23.400","","17.100",""
"C0X160","2019-07-26 00:00:00","26.000","108.000","0.800","28.600","0.860","1005.800","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","26.600",""
"C0C490","2019-07-26 00:00:00","157.000","314.000","0.400","27.800","0.850","990.200","-99.000","0.000","-99.000","-99.000","-99.000","35.000","","26.700",""
"C0F970","2019-07-26 00:00:00","145.000","100.000","1.200","27.400","0.830","990.900","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.600",""
"C0M690","2019-07-26 00:00:00","33.000","122.000","0.400","27.500","0.900","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.200",""
"C0V690","2019-07-26 00:00:00","30.000","308.000","1.300","29.000","0.850","1005.600","-99.000","0.000","-99.000","-99.000","-99.000","31.400","","27.500",""
"C0Z210","2019-07-26 00:00:00","126.000","0.000","0.000","25.500","0.990","995.800","-99.000","1.000","-99.000","-99.000","-99.000","33.300","","25.000",""
"C0U770","2019-07-26 00:00:00","5.000","290.000","2.600","27.000","0.880","1008.000","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","25.700",""
"C0Z080","2019-07-26 00:00:00","298.000","0.000","0.000","24.700","0.920","975.700","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","24.100",""
"C0G640","2019-07-26 00:00:00","17.000","131.000","0.400","28.400","0.840","1007.800","-99.000","0.000","-99.000","-99.000","-99.000","32.900","","26.600",""
"C0X200","2019-07-26 00:00:00","61.000","0.000","0.000","26.400","0.990","1001.500","-99.000","0.000","-99.000","-99.000","-99.000","33.100","","25.100",""
"C0U900","2019-07-26 00:00:00","63.000","0.000","0.100","26.400","0.990","1002.500","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.700",""
"C0Z230","2019-07-26 00:00:00","31.000","275.000","1.400","28.500","0.740","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","30.600","","26.600",""
"C0F9O0","2019-07-26 00:00:00","175.000","206.000","0.300","28.600","0.990","988.400","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.900",""
"C0C540","2019-07-26 00:00:00","46.000","226.000","0.700","27.900","0.810","1002.600","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","26.300",""
"C0G770","2019-07-26 00:00:00","15.000","205.000","1.100","28.700","0.900","1004.500","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","27.400",""
"C0V670","2019-07-26 00:00:00","20.000","244.000","0.600","30.000","0.800","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","28.300",""
"C0A870","2019-07-26 00:00:00","685.000","217.000","1.600","24.200","0.910","931.600","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","22.500",""
"C0R220","2019-07-26 00:00:00","23.000","90.000","0.400","27.600","1.000","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","25.900",""
"C0Z220","2019-07-26 00:00:00","589.000","256.000","2.200","23.000","0.980","945.300","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.900",""
"C0D560","2019-07-26 00:00:00","147.000","177.000","0.700","27.100","0.860","991.700","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","25.700",""
"C0I380","2019-07-26 00:00:00","258.000","0.000","0.000","25.400","0.990","978.700","-99.000","2.500","-99.000","-99.000","-99.000","34.000","","23.200",""
"C0Z020","2019-07-26 00:00:00","211.000","355.000","2.400","26.100","0.990","984.400","-99.000","5.000","-99.000","-99.000","-99.000","33.200","","24.900",""
"C0Z190","2019-07-26 00:00:00","62.000","303.000","1.100","27.900","0.840","1001.600","-99.000","0.000","-99.000","-99.000","-99.000","30.300","","25.800",""
"C0C710","2019-07-26 00:00:00","143.000","0.000","0.000","25.100","0.940","991.800","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","23.800",""
"C0D360","2019-07-26 00:00:00","523.000","0.000","0.000","22.900","0.970","949.500","-99.000","0.000","-99.000","-99.000","-99.000","30.200","","22.300",""
"C0C680","2019-07-26 00:00:00","228.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0X140","2019-07-26 00:00:00","17.000","89.000","0.700","29.300","0.860","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","27.300",""
"C0V710","2019-07-26 00:00:00","34.000","218.000","0.700","-99.000","-99.000","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","-999.000","","-999.000",""
"C0G840","2019-07-26 00:00:00","32.000","0.000","0.000","28.000","0.900","1002.300","-99.000","0.000","-99.000","-99.000","-99.000","34.100","","26.100",""
"C0S890","2019-07-26 00:00:00","238.000","27.000","0.600","26.700","0.890","984.600","-99.000","0.000","-99.000","-99.000","-99.000","34.000","","25.000",""
"C0T820","2019-07-26 00:00:00","550.000","0.000","0.000","22.000","0.970","952.500","-99.000","5.000","-99.000","-99.000","-99.000","32.900","","21.700",""
"C0F9I0","2019-07-26 00:00:00","194.000","208.000","1.800","27.700","0.870","986.000","-99.000","0.000","-99.000","-99.000","-99.000","31.700","","25.900",""
"C0C650","2019-07-26 00:00:00","208.000","213.000","0.600","26.900","0.850","984.400","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","24.800",""
"C0R600","2019-07-26 00:00:00","766.000","356.000","0.400","24.200","0.820","925.100","-99.000","31.500","-99.000","-99.000","-99.000","26.600","","22.800",""
"C0Z320","2019-07-26 00:00:00","646.000","272.000","0.600","21.300","1.000","938.500","-99.000","3.500","-99.000","-99.000","-99.000","32.800","","20.300",""
"C0V210","2019-07-26 00:00:00","734.000","0.000","0.000","23.000","0.920","929.800","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","19.700",""
"C0K240","2019-07-26 00:00:00","1132.000","315.000","1.300","22.200","0.990","889.900","-99.000","0.000","-99.000","-99.000","-99.000","27.300","","20.200",""
"C0M520","2019-07-26 00:00:00","15.000","194.000","1.000","27.800","0.880","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","25.400",""
"C0A530","2019-07-26 00:00:00","300.000","0.000","0.000","24.500","0.990","974.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","23.800",""
"C0K330","2019-07-26 00:00:00","38.000","185.000","0.500","28.300","0.840","1003.500","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","25.800",""
"C0M660","2019-07-26 00:00:00","40.000","201.000","1.000","28.200","0.890","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.900",""
"C0D580","2019-07-26 00:00:00","120.000","0.000","0.000","25.000","0.970","994.000","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","23.600",""
"C0R640","2019-07-26 00:00:00","21.000","0.000","0.000","29.400","0.810","1006.800","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","27.300",""
"C0E810","2019-07-26 00:00:00","53.000","189.000","1.100","26.500","0.940","1002.000","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","25.300",""
"C0G830","2019-07-26 00:00:00","27.000","198.000","0.500","28.400","0.940","1003.600","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","26.100",""
"C0A550","2019-07-26 00:00:00","422.000","0.000","0.000","23.200","1.000","962.300","-99.000","5.000","-99.000","-99.000","-99.000","30.100","","23.100",""
"C0G750","2019-07-26 00:00:00","31.000","175.000","0.500","28.000","0.870","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","25.700",""
"C0Z270","2019-07-26 00:00:00","343.000","0.000","0.100","25.400","0.970","971.100","-99.000","0.000","-99.000","-99.000","-99.000","29.000","","24.600",""
"C0UA30","2019-07-26 00:00:00","1397.000","240.000","0.600","19.300","0.990","860.000","-99.000","0.500","-99.000","-99.000","-99.000","25.200","","19.300",""
"C0I080","2019-07-26 00:00:00","536.000","0.000","0.000","24.400","0.920","952.200","-99.000","0.000","-99.000","-99.000","-99.000","31.900","","21.900",""
"C0UA00","2019-07-26 00:00:00","392.000","0.000","0.100","24.400","0.990","965.800","-99.000","0.000","-99.000","-99.000","-99.000","33.500","","24.000",""
"C0AD40","2019-07-26 00:00:00","32.000","183.000","0.300","26.700","0.910","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","34.300","","25.100",""
"C0S660","2019-07-26 00:00:00","794.000","219.000","0.600","21.400","0.970","923.700","-99.000","1.000","-99.000","-99.000","-99.000","29.900","","19.800",""
"C0M640","2019-07-26 00:00:00","155.000","122.000","0.300","27.500","0.840","990.800","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","25.600",""
"C0UA10","2019-07-26 00:00:00","1711.000","310.000","1.000","16.700","1.000","832.100","-99.000","3.000","-99.000","-99.000","-99.000","23.400","","16.700",""
"C0V770","2019-07-26 00:00:00","26.000","27.000","1.000","28.400","0.990","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","26.600",""
"C0E730","2019-07-26 00:00:00","26.000","123.000","1.200","27.900","0.820","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","33.900","","26.000",""
"C0V810","2019-07-26 00:00:00","32.000","237.000","1.100","28.800","0.860","1003.400","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","27.800",""
